modulus,n,input,output,proof,prime,t,gamma,k,bound,t_squaring,t_proof,t_total,t_verify,t_verify_prime
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,18944747632236911726293620225398700813754886537841132474972592662179548742429,4106206796947404966864550243194829971826274056007878257235281782164892661177,16819559262639907597665189097655909238736714889441413361431405526476838921423,1024,32,2,16,0.0001430,0.0008580,0.0010580,0.0006620,0.0006560
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,8985636508052365021505053192122006748576503757295900281091828131104849018325,2391062336872474864008501318452860420677799112436589815041712427904003997779,61887335567945740823924658598106869915126366374978602084079747973869492859033,2048,45,2,23,0.0002940,0.0004720,0.0008080,0.0001400,0.0001370
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,18248731130604266316515204742804650306126792964562417897602104636589887824257,8368704928733494050785161147459883197680342912246103040732932360766707150673,83546894233552449506891235226692272453376522308381089508581283834078650263353,4096,64,3,22,0.0008310,0.0013210,0.0021990,0.0006330,0.0004650
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,15625257299538057560900554052847338454648533828781778369126270631134458657847,16537613228043762744688263044220360488269094082128049823554806675211970123827,95587551563034461179367949018435496392561185154752102731229261895823321728271,8192,90,3,31,0.0011460,0.0018790,0.0030590,0.0003950,0.0004250
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,13633407254144579892831308064794328714340012571946247042821112440319470946263,15641833535861097766906198711101734458917661320379514663520867810974782162583,29540831797141318407901579878711867492265101429290188022776098733070452527277,16384,128,3,43,0.0022290,0.0026910,0.0049610,0.0002010,0.0001920
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,15095280390608469470635968220733926359426033246990417438201760060193543109831,10969717666166751919341168670133971414755305820658592109629316135252088099357,105058867749336685844167853697490104170043267288551131951551158944620974636011,32768,181,3,61,0.0045320,0.0051210,0.0096920,0.0003340,0.0003270
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,4631630447073105740365967748684449344132411934406924584773835967495327892259,2857223112944490729563030223851706606386761452217991439485097063122647906427,67568004379932307380499727889636348887303733261393113895948755169817188305471,65536,256,4,64,0.0090020,0.0097200,0.0187740,0.0001900,0.0001810
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,4098230259760966052600860713885573718360543049331336027946678152797609308749,3971280851400521688797320868339570430491839813061078847601720215510362227303,77925267284532626210981324140967166302336528437111028614108810041822988313653,131072,362,4,91,0.0177750,0.0214030,0.0392200,0.0004460,0.0004390
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,6905575696866517814835809111805407267576569355755256164990482468716383752009,10256019757202296915410435804287069060848209374579862737158166263117735419595,62760275103724931247840758507074960403348187070852272474928513221391454102773,262144,512,4,128,0.0358260,0.0505790,0.0864680,0.0001940,0.0001860
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,6990315301329444853250237650105056584331957102183427016637086843842882401969,20326201471204421234270527497287762648395149645398886842664032024511985722015,17586419618126973205700965711513729749570895985059516678948586252929758358021,524288,724,5,145,0.0709210,0.1231340,0.1941120,0.0004230,0.0004160
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,4238175051762424267616376131726357209828972531309220973761890448881735790409,4133394003332231191408728870012177093585054832929746198712395444464864534795,54801840841405103876384973169705043743225565807751948142847727138657355407509,1048576,1024,5,205,0.1419750,0.3118730,0.4539130,0.0010590,0.0010380
256,23439409676068614515591504325645780208764114074456427260836222155342850592281,23439409676068614515591504325645780208764114074456427260836222155342836500285,10841558786323476312775424199881396260971430032739497481277511034734153571233,1078033221548282141015976685216205456856010362714059333043974724293866953399,6479817779122401738703627317724197132903874503322871297992603313748562826753,2097152,1448,5,290,0.2828280,0.8113410,1.0942390,0.0008630,0.0008530
