modulus,n,input,output,proof,prime,t,gamma,k,bound,t_squaring,t_proof,t_total,t_verify,t_verify_prime
512,9430752482334106802292186609848136373613629384961046519250385303454480869822612946747970245784706653739801405678254865886817473552287419521193018276705681,14091996,1886470446123878557030732860844491755840239893107510192007086642643197612833152428379124893652154740081478912885137218637320442439552358020493533910909472,5704651389361528965649533430294319655088468958233354503472060059751850748786789173577690216164472440641175601025661912096527366872036246012744768946278190,101279787218342713647602704595444391412724005140790254699766259056318898408173,2097152,1448,5,290,0.4257740,0.8260740,1.2519230,0.0005600,0.0005410
512,9430752482334106802292186609848136373613629384961046519250385303454480869822612946747970245784706653739801405678254865886817473552287419521193018276705681,14091996,5751175978255137742107955536261439000624403320844364416239695336714502958265355686661354871845968797917896320306459229397319243192176512318033371313617470,6941736124470933836876234654697503232437636953372231690009708478669531811524063928692537694069634444630854695811265079633554655820048483036905147865150342,79503340310936501849815793219916749404299166400332892022981611143907900638481,4194304,2048,6,342,0.8514260,2.1432390,2.9947440,0.0002530,0.0002410
512,9430752482334106802292186609848136373613629384961046519250385303454480869822612946747970245784706653739801405678254865886817473552287419521193018276705681,14091996,2763707338939578217096390268487638702326737737059967636416231328476480817882425191852665019244792665455255270680827046005297816673739579738675729894130922,8915658917156467367164887951361261886959287504430447341394341906072036846905719844085131720299162876976782573654310042620638175312413325706038381725256468,28326072550770743993097047798724271705278985176335543267334004933757717498233,8388608,2896,6,483,1.7039040,5.9121490,7.6161510,0.0012630,0.0012520
512,9430752482334106802292186609848136373613629384961046519250385303454480869822612946747970245784706653739801405678254865886817473552287419521193018276705681,14091996,7636770671518267562596974644547589744372374667120532716193290844942997956550049245083451650977590077105234007228621519917311768150303379184265658176309062,5171971072285031278989720250759873590187661147907123092462584885868866616117868087098245287667792567929171862557768791977774893166236282092729361645922914,64032685626806386283611002677440178502358820303128741218641783985608497044511,16777216,4096,6,683,3.4156770,15.9435260,19.3593180,0.0006140,0.0006030
512,9430752482334106802292186609848136373613629384961046519250385303454480869822612946747970245784706653739801405678254865886817473552287419521193018276705681,14091996,3889947465459058981230545764129450664556210448666075972266129243164354123541647292116638715318189170804106186964682597347926195956123876918924765582579238,8100696159818946950556173714176074705398343352141468328500845393338924519611336636731592164867367343433521289573984944468273807057465460563117655033886083,52337092309454621940157577988185285849476392916069838804575199170363351077193,33554432,5792,6,966,6.8117960,44.9244720,51.7364090,0.0007830,0.0007700
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,2071094905408030555074765908018136292049041297307143498314388957460051131376413199363986555849643546382165913206509789204047881320879041183068909716353112470019467922198243246202151299624858906406126846111610735425593593405696542559846477039177282249397909960951341440579443748884095197604983238799801964546,1844886388097078384273113470460172190820113986778436126425142334024252906994069025061794063667718398455501067086264416556369146595666178261492707328138943650289780542532682737766985994148079617685282843734182354067309943324922026349322001561420342404479004320929164689442791192109732407828765265527338441972,107191482235840753467758194220833501004847795284147615829571803297816368066173,1024,32,2,16,0.0005550,0.0008060,0.0013930,0.0005080,0.0005050
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,840964428373482749223149556053799226353910778310886688404673558067572339953797237535352150591081833085307035796504684379264620329017344548109407335007055025061137904949442584454307622168111117867824762692768679024473001854668754843641288587155156786337025011430042977919796731209138996239386710330004330735,641899525109254550985042037405030140624462454509445645778382129809757886332375030573043371065151147013012214807335556435763492186794785119423782731806741018007258942921144862945309411436130763342378203793564607027292722708324950031744950413646003282304888499662835052773568709877968519723673349542806380186,77502168546986413951831949062539492903812431629753545401520886793785347484121,2048,45,2,23,0.0011110,0.0011100,0.0022490,0.0003790,0.0003770
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,1908386627318822449993230153098986634304894933462663268039475733455193486985845252617834795378089650806731354187615903510660709680442344380000134355842108354299663923641006302120357029385543873220602464466314202452815901415575399411424219144882321356896715599273544716303539764723373205220445138537627306128,1714794499286082218007042617338089196882729295025770085764079287878108656877274133595112585697839877936163153243771168715321532645414268495539090473478262216702394587380273851348634609716447503153554258847838180172000319451353855647352642607497409741092060244228635791537791324569700970309662593789052575602,13389285643697362249088388603619809562298772398980538324138232406942449156067,4096,64,3,22,0.0022170,0.0026210,0.0048630,0.0010700,0.0010670
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,543347126062683775632700692539649937237051733907257614860352372823836251520608565799193329391642620950036890088285444308146354066999801406747781210178076565938752173597203518685208273957321292601278749984672162612624898092998135564492596114397033526616848745445617471428161177876405703285690672460258699554,2309830153597515353487372197083348705268877311180567738087760185990164808401832371760746062139086122644571723956993240744986150502118858250703937973698512297107200786506088391344807593514160623473439234756200843127543365181165832721866295024920960662806931067365311199395788704483337185421246648426772651393,107579534301687838654045268836219878041951824449246759694769279679960961608157,8192,90,3,31,0.0044360,0.0033420,0.0078030,0.0004390,0.0004360
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,506586440418000523384621238802778179840967131064943816456322510139429140156590247892677169331249673654598345931352222992667950441882239118496141024115138751614478438386544290290985561847326455742604874486295664724128463437573737722015447939453549760900961697461201459242684089327296107988799420414539979586,1865791749981304684734459869374693987987035444348841523955871707141349744119241253643185531387149067834611300059895769761172754849215319616787761342853977701747332378049959025770650162330310027282588710770119727751517536919462336731306362944089301338350766546720100596716255452285136624565061086265739657276,2931567001759217662931670606164854712964859590286005309836530966141161493259,16384,128,3,43,0.0088700,0.0063830,0.0152900,0.0006470,0.0006810
