modulus,n,input,output,proof,prime,t,gamma,k,bound,segments,overhead,t_squaring,t_proof,t_total,t_verify,t_verify_prime
1024,6417169731069733396494336684963852363929125696621969754827417608422024564239790072210733329033700266490675843294461623846233164365947542286369584675135928045252634008879274992719415936643177929197946290191948149910912276830935134601007840147370440748984183188328532252508266713120025866039324767882137959729,6081666369463808574956393586669159413892786863323128336744423997363245776378329878646974610074990113771709856922894906032313519332962373139926533843860419400146019191551503292185109944371519991830180721241475878666649132850244048294342578986229856767781716046015826503923891324783614118202965515783394204147,1396647321667449287822513466734195918877889276540321988437601702271378642445308444095593567882743123985381928364335298176448788845175794108802311350123189045471758104241373155027848020571537758983231569648651235275538644495470690486501875834205670660821728965763005695204598517321698690968858510193865917313,3866078359191736664248972144935756777800251895523168762980979185077744357195223058031685660672510473118391603698946569074045937129440356974761728377901339776660919137341160069125020174471339672161567525930514222529291043381592890438918828668104576057599767088675748897440483050192325737284415074898814070941,63469574128220713362515049450213858276578867025976278296965305882971435897957,2010708,1417,5,284,2,3.4922271,1.3628530,1.1734350,44.4113580,0.0023630,0.0023430
1024,6417169731069733396494336684963852363929125696621969754827417608422024564239790072210733329033700266490675843294461623846233164365947542286369584675135928045252634008879274992719415936643177929197946290191948149910912276830935134601007840147370440748984183188328532252508266713120025866039324767882137959729,1192005668410677726404898330623736748383989614114538032174831922955952225759088654814701937789094289020751090725294793364902145570807290781365131288131847638381583341184184384318198678664483533030093572655593515961073971565108193465290376764568804370146989277053895789557001339935898425937461150790876934705,1396647321667449287822513466734195918877889276540321988437601702271378642445308444095593567882743123985381928364335298176448788845175794108802311350123189045471758104241373155027848020571537758983231569648651235275538644495470690486501875834205670660821728965763005695204598517321698690968858510193865917313,6095595048159123614543443734415125097921879883917125664557283418291887591126256178539908216493877373781116281376412547491954453222043055158551724233567128491923521348880274507145376037249451801331576083610255504830052756296544188284274679418937425307934703718057504729320603470205323229724980480035279575037,25339536546342214862415048642086791766128639353641709842704131596875785707147,566054,752,5,151,3,3.4922271,0.5246190,0.2834370,43.1229090,0.0021290,0.0021180
1024,6417169731069733396494336684963852363929125696621969754827417608422024564239790072210733329033700266490675843294461623846233164365947542286369584675135928045252634008879274992719415936643177929197946290191948149910912276830935134601007840147370440748984183188328532252508266713120025866039324767882137959729,968792276092137477022808134425184481512318733537431141443781644609166189950493448163908083141591338771151506519949481065411755237572697279644434818191811981730172943025840864628214897497447040445033484060975850652108883777389162001120257859682599185549124367666322009529396172850632252940150137731968754713,1396647321667449287822513466734195918877889276540321988437601702271378642445308444095593567882743123985381928364335298176448788845175794108802311350123189045471758104241373155027848020571537758983231569648651235275538644495470690486501875834205670660821728965763005695204598517321698690968858510193865917313,1032313432311052352134131159396014034880070250735939263173878089127315414851259617441051163311775810333515984543872493173529479069143090332990588325711666851370136116686138611924857392136818221689221668545170829539457781080784349674428691730392515842923574905149871731320629632932618164131916689332766713069,114138572439771003522585673894566518093942123761127672446049197740059683864037,161312,401,4,101,4,3.4922271,0.1620620,0.0947740,42.7947170,0.0055200,0.0055040
1024,6417169731069733396494336684963852363929125696621969754827417608422024564239790072210733329033700266490675843294461623846233164365947542286369584675135928045252634008879274992719415936643177929197946290191948149910912276830935134601007840147370440748984183188328532252508266713120025866039324767882137959729,3466933473054877076615053034755863680214257347610247965753834355230923066752723605949084246989700493122157969770310066817970373267584064958627198322300175604219000486838690808698905049078572731554432345292549470871406422774726248961056600836194565329308776363644553520179714028347486532412352106556786437387,1396647321667449287822513466734195918877889276540321988437601702271378642445308444095593567882743123985381928364335298176448788845175794108802311350123189045471758104241373155027848020571537758983231569648651235275538644495470690486501875834205670660821728965763005695204598517321698690968858510193865917313,3342377824686545919713192759855083327454743590558584865830429641744072260595342224014740705832515354951393375789741116754125759341493624258913689638003785184606985229435963991053135763715025664254221717851600703143080073977236855265983081014458801998961175593511751961769959119490283494422568611723809489167,13156844348432250356338297283637778629231848063294642346694076950416500581141,46130,214,4,54,5,3.4922271,0.0465650,0.0300520,43.4096130,0.0052140,0.0051940
2048,3927485204122896402520743699786286571468766124275651691158039836866489663039837122906191332421559139170013718487533441717416447898530062333359764222406688259029356627362047589918698229412612631195725411368845915761343269883762808263124128180830355704149147710352067098742335701075549032155172296194222957394170289864171656421828360686343068570713315827363016193662351070805640018816872704080134450579824153346153187207927007237214954677061478176691896997736657354303979119364350247747068071116528910025459968938473747582154843814618988571991882494279801076226697815958411635612337558748567219634469477076143822944529,3927485204122896402520743699786286571468766124275651691158039836866489663039837122906191332421559139170013718487533441717416447898530062333359764222406688259029356627362047589918698229412612631195725411368845915761343269883762808263124128180830355704149147710352067098742335701075549032155172296194222957394170289864171656421828360686343068570713315827363016193662351070805640018816872704080134450579824153346153187207927007237214954677061478176691896997736657354303979119364350247747068071116528910025459968938473747582154843814618988571991882494279801076226697815958411635612337558748567219634469477076143808852533,887843402325633957521965505242102230949779540739086463168056174670493622340218047925462742290821579094352675022667673672448134152809875233309579672273946006913746554946103407859523893783312856945430449084824749669334763473234985412755209291424800339874159810165085870086941636045564205998764135310610324373826037405247095166191708253172125594255197090188799849368663031015313216377453209487645206845366486279895174407497860165392295419917435140359755912580008614272967011835105861657865086903132577009784923367469736204177315844673425096969358504245364182730685326760070250986228894992164532970205440426908838821839,2409741721255236364321589668113916060816123149342101908187571045326531092765839008891070543768103712639666969307714816593007620941572478950709577589817763322388338634881577048053181007674568408947264608500281446401843910909581604282085021172828473405661563367616681353870552636809974861531424411212882031966322176193523574442449225773911028058335517910581176628327824077020873557889568799909536637647457947172408924451917379219417561239557749808058616808552214085815420825293456350101269161500381231500714002219738607920506550257638243866519695744465937437770895597559325784867274781561740814431323177155476482884293,94267266254602330206763290887686195472620845662806477000824464899209783167641,33554432,5792,6,966,0,1.9867622,54.6571290,53.9334220,108.5907180,0.0010360,0.0010220
2048,3927485204122896402520743699786286571468766124275651691158039836866489663039837122906191332421559139170013718487533441717416447898530062333359764222406688259029356627362047589918698229412612631195725411368845915761343269883762808263124128180830355704149147710352067098742335701075549032155172296194222957394170289864171656421828360686343068570713315827363016193662351070805640018816872704080134450579824153346153187207927007237214954677061478176691896997736657354303979119364350247747068071116528910025459968938473747582154843814618988571991882494279801076226697815958411635612337558748567219634469477076143822944529,33547776636403853104485611671478808326719293366688754024342776288823656513314803155218524623284796519781680850312506448198663028061246004656650243061393645549752333110952886399143306357253953674844456904397158215178126551599587057626358302591349029917893075714880610056708277420788067368536973551391343389929376520963855346134236728633529781023887027821708319927234199483976329760680053915792404403427559108594083776378306656828114226528949902110238651388660688935852261456091387467448027469189495781723603009246318323930407706397495159291734100745657968737469539720317206218757571052890452968707286618773160771873,887843402325633957521965505242102230949779540739086463168056174670493622340218047925462742290821579094352675022667673672448134152809875233309579672273946006913746554946103407859523893783312856945430449084824749669334763473234985412755209291424800339874159810165085870086941636045564205998764135310610324373826037405247095166191708253172125594255197090188799849368663031015313216377453209487645206845366486279895174407497860165392295419917435140359755912580008614272967011835105861657865086903132577009784923367469736204177315844673425096969358504245364182730685326760070250986228894992164532970205440426908838821839,681498399051749172214588367515146106968676624294254922386418624306524050098383190937165562558780429214966431489967281597921509147003837485920311740420774836861628161669570723334338758635158353667468103646535867081300301834737665985526379651411212576795858085070479209622166822007024264691325636402248381341218581427196354361912661841671790427100883335567614839389781732530564566054866063331147469994244643184766153028248046351254487920926518564757026478416847901074570573580761998623019661494072688090333498072384345853778208435191913504286002827152601338046004894372074504762695602006780633194309169052872186799003,85918774618806283041311660155601402387295059818183734357040885753808088061021,11234384,3351,6,559,1,1.9867622,18.3758940,12.5641080,67.9780380,0.0042970,0.0043030
2048,3927485204122896402520743699786286571468766124275651691158039836866489663039837122906191332421559139170013718487533441717416447898530062333359764222406688259029356627362047589918698229412612631195725411368845915761343269883762808263124128180830355704149147710352067098742335701075549032155172296194222957394170289864171656421828360686343068570713315827363016193662351070805640018816872704080134450579824153346153187207927007237214954677061478176691896997736657354303979119364350247747068071116528910025459968938473747582154843814618988571991882494279801076226697815958411635612337558748567219634469477076143822944529,324073048616636113956081880463945001696611615417024599088880295019650307033233577334104961793516055985784805286627518400771181264990546271072004862286995041304627187008326576971919839863437887673226453228486523944615432754134685403269561597156647445184032969180860873177505808705554880321246070819210014201606715287681718377945838301514760343746034719064931527364568685764477523618860456211193781398189122166507315370969994892028092196877784265439959355631978660579250041303085417008501065513708779026887588622202710130183723462083882333904641460410804876386147284942320938025410870047738109666027295629265065659397,887843402325633957521965505242102230949779540739086463168056174670493622340218047925462742290821579094352675022667673672448134152809875233309579672273946006913746554946103407859523893783312856945430449084824749669334763473234985412755209291424800339874159810165085870086941636045564205998764135310610324373826037405247095166191708253172125594255197090188799849368663031015313216377453209487645206845366486279895174407497860165392295419917435140359755912580008614272967011835105861657865086903132577009784923367469736204177315844673425096969358504245364182730685326760070250986228894992164532970205440426908838821839,801542068764454370554826016968863995205602190802326969038161046837277788687702120549389428505621432841090143183541002886287774478877616829170124272684625988857289742089707275790942558670705242603397401247960360910757805954270800172481838435088357477197868807748691470024564359687534301687678375299213696805546841207973534942457660360761793845607244340760442703480487353753639844391889333411764558496569711817634773869285229494287563709532127928630621854780019419681388001138383319135020356645357461911669732025078019043356056015718183486284266465522656295301422928622380037315114030237076207073471833446034277886159,11666793782255772118066398073195338297693023339342077804931372484726560244973,4839127,2199,6,367,2,1.9867622,9.0046920,4.7215900,60.4975180,0.0046370,0.0046110
2048,3927485204122896402520743699786286571468766124275651691158039836866489663039837122906191332421559139170013718487533441717416447898530062333359764222406688259029356627362047589918698229412612631195725411368845915761343269883762808263124128180830355704149147710352067098742335701075549032155172296194222957394170289864171656421828360686343068570713315827363016193662351070805640018816872704080134450579824153346153187207927007237214954677061478176691896997736657354303979119364350247747068071116528910025459968938473747582154843814618988571991882494279801076226697815958411635612337558748567219634469477076143822944529,146882866931531750141022378756222041354863122278601476588331208087016612099605674633550981325499671776436144896009068233730404202252121860085299939149691453541688014547156339049494892171774151710208934875519736477379780055890912971700243096483699223720236636152163713406637253225528323705906234616503332772841954469263661673789836512360908701726488104146930857300721653223146438321569366160316470855644921898947123790505180913959456353874866079086940975933204306970371913009079336776627888625311111901337517307916145126814278658061839212707679603291702703479407497429209263054017535070559627840243296289615214083833,887843402325633957521965505242102230949779540739086463168056174670493622340218047925462742290821579094352675022667673672448134152809875233309579672273946006913746554946103407859523893783312856945430449084824749669334763473234985412755209291424800339874159810165085870086941636045564205998764135310610324373826037405247095166191708253172125594255197090188799849368663031015313216377453209487645206845366486279895174407497860165392295419917435140359755912580008614272967011835105861657865086903132577009784923367469736204177315844673425096969358504245364182730685326760070250986228894992164532970205440426908838821839,3408783240481031042148981035807316749532701971469673414348724713177388831685305351965112599408231789443998946551256805630680053607836268269721607405103565170131281669733077929352271237738451578217190366653678862278030793158346935379505209060537488951484272123985992787983172435168874730907175285007066088478410843087549410652752112759673579669047884352009511164886071241246924129002449054494354797111117608046575143800585313024515982794869860024254427204587993666457740978750412065137004140805529998544653672482202918864810226428118046625386303876676572386413259846178258318490740386584088345252278376248604681729805,85951357322826273735257009498025736741947132871458211387075384320415162051637,2270848,1506,5,302,3,1.9867622,4.1725750,1.8171290,59.0196080,0.0072580,0.0072430
2048,3927485204122896402520743699786286571468766124275651691158039836866489663039837122906191332421559139170013718487533441717416447898530062333359764222406688259029356627362047589918698229412612631195725411368845915761343269883762808263124128180830355704149147710352067098742335701075549032155172296194222957394170289864171656421828360686343068570713315827363016193662351070805640018816872704080134450579824153346153187207927007237214954677061478176691896997736657354303979119364350247747068071116528910025459968938473747582154843814618988571991882494279801076226697815958411635612337558748567219634469477076143822944529,3069599979032274629272441405665561993723711345611082916278194049018182754551596954062961377689805920411360816920843672318199737675173455455216664457799780248359477237316835372401360805279850298002570596784446746325786326474379738775423397317955853074774550097241012111659146872606452039444733855088077569451215155905722526437778321487444451220226218813379262741991206787434317481108341066555418674560273202315856208971925852294082769617100616589028291038079534251171438060018854738255638383519803466065722263084666051847669385049703390858683714330665513448510135443313448860434385611798979088964537205647700914778721,887843402325633957521965505242102230949779540739086463168056174670493622340218047925462742290821579094352675022667673672448134152809875233309579672273946006913746554946103407859523893783312856945430449084824749669334763473234985412755209291424800339874159810165085870086941636045564205998764135310610324373826037405247095166191708253172125594255197090188799849368663031015313216377453209487645206845366486279895174407497860165392295419917435140359755912580008614272967011835105861657865086903132577009784923367469736204177315844673425096969358504245364182730685326760070250986228894992164532970205440426908838821839,2004927157787057167308081354404802009934455508341587560817614463432402306060768756955805512329823012620878614010345953112031752326730336559914673864644670503021046290734713605180260065124157674742659172408771282134815010647423612124895697276326171535219442823237970846528998878528025461741990994855633925005185536976684234701832371398855120521822284503460271137943735629194382515775045338147820205644120339791095758318326155431943251571215217305484109612360994344090325002561596298797038807166094925219704078166237542182713938246058253432307709761029091975430868061645453616192916313850807838321304473793401225793747,57848205703889367434222973133661370587555040682450724086555937752674687955547,1105338,1051,5,211,4,1.9867622,1.8564950,0.8287550,57.6224780,0.0077050,0.0076910
2048,3927485204122896402520743699786286571468766124275651691158039836866489663039837122906191332421559139170013718487533441717416447898530062333359764222406688259029356627362047589918698229412612631195725411368845915761343269883762808263124128180830355704149147710352067098742335701075549032155172296194222957394170289864171656421828360686343068570713315827363016193662351070805640018816872704080134450579824153346153187207927007237214954677061478176691896997736657354303979119364350247747068071116528910025459968938473747582154843814618988571991882494279801076226697815958411635612337558748567219634469477076143822944529,1819560653335077935649754054313188452761674443474995198232597890506134627865056348461301821061117352734612957971627229249695991146564092378138572466758194744653213410334910417143335618454743315225719862865427456345235440126429641943739993582106523107306293236718031150169906721314561549462376416489424670412190936554635572270080635679661717754838257643068883259034124828110132169779201282591046672168902511223121815903357087825860009089546982936981940783424206431660897963780541394879374863429740923238592953211408481460010280048034747784719973565262725148561800381346283927626713190054405217876122955583529391941995,887843402325633957521965505242102230949779540739086463168056174670493622340218047925462742290821579094352675022667673672448134152809875233309579672273946006913746554946103407859523893783312856945430449084824749669334763473234985412755209291424800339874159810165085870086941636045564205998764135310610324373826037405247095166191708253172125594255197090188799849368663031015313216377453209487645206845366486279895174407497860165392295419917435140359755912580008614272967011835105861657865086903132577009784923367469736204177315844673425096969358504245364182730685326760070250986228894992164532970205440426908838821839,2375762712058720114342290563438005345802307289153037775320052905608675827682570746076293880920020036125357535936177376845406405688548045711780175319790121398075420696738963759043466280437818316101192785026879524047729016666723042939513092406153852031391600761179799703653113328582115054461322127683554922735140841159661471408793406221497700169638184250889837407191197546246782138344841120667017175546997433469181814667240870969517018158523053733296911922210948722930424104539305322995122837911985242656881151296219279251015897583732089000678013585915899337332901414457586948163445884292125857798120408098986486867181,47864205298696065724605926221798839037061958520267820613387746648364210988447,547279,739,5,149,5,1.9867622,0.8907100,0.4018020,57.1954020,0.0087450,0.0087360
